station,time,wind_speed,wind_direction,significant_wave_height,wave_direction
22189,2026-07-28T01:00,6.3,245,1.0,248
22189,2026-07-28T02:00,6.4,252,0.9,244
22189,2026-07-28T03:00,4.2,254,0.9,42
22189,2026-07-28T04:00,4.7,244,0.9,37
22189,2026-07-28T05:00,3.6,250,0.8,45
22189,2026-07-28T06:00,3.7,266,0.8,47
22189,2026-07-28T07:00,2.5,299,0.7,42
22189,2026-07-28T08:00,2.2,356,0.7,29
22189,2026-07-28T09:00,2.6,324,0.7,60
22189,2026-07-28T10:00,4.8,272,0.7,43
22189,2026-07-28T11:00,4.6,236,0.6,352
22189,2026-07-28T12:00,5.3,232,0.6,22
22189,2026-07-28T13:00,5.9,234,0.6,36
22189,2026-07-28T14:00,6.2,232,0.6,243
22189,2026-07-28T15:00,5.2,234,0.7,236
22189,2026-07-28T16:00,4.9,234,0.7,244
22189,2026-07-28T17:00,6.1,237,0.7,244
22189,2026-07-28T18:00,6.9,241,0.7,241
22189,2026-07-28T19:00,6.5,231,0.8,241
22189,2026-07-28T20:00,6.2,228,0.8,239
22189,2026-07-28T21:00,5.7,232,0.7,241
22189,2026-07-28T22:00,5.5,242,0.6,234
22189,2026-07-28T23:00,5.6,250,0.6,241
22189,2026-07-29T00:00,4.9,255,0.6,236
